author_id,first_name,last_name,birthday,country_of_residence,hours_writing_per_day
AS443,Abraham,Stackhouse,1909-07-01,Norway,6.0
AW980,Amelia,"Wangerin, Jr.",1903-03-26,New Zealand,16.0
AI923,Anastasia,Inez,1910-03-30,New Zealand,11.0
AM329,Arthur,McCrumb,1910-03-13,New Zealand,3.0
AH957,Arturo,Hijuelos,1891-01-09,United Kingdom,8.0
BH149,Bernard,Hopf,1884-11-27,United States,1.0
BT132,Bianca,Thompson,1912-01-28,United States,5.0
BL857,Bravig,Lewisohn,2000-01-21,United States,11.0
BM856,Burton,Malamud,1907-01-18,Brazil,6.0
CS190,Carolyn,Segal,1895-09-24,United States,7.0
CF829,Charles,Fenimore,1882-03-18,Norway,7.0
CW626,Clifford,Wolitzer,1905-08-01,United Kingdom,8.0
DF413,Darryl,Fleischman,1893-12-07,Germany,16.0
DB605,David,Beam,1919-02-26,United States,5.13
EH487,Elizabeth,Herbach,1919-01-22,New Zealand,0.0
EK605,Elmer,Komroff,1891-07-11,Norway,6.0
GG800,Gloria,Green,1918-09-19,Hong Kong,8.0
GH671,Grace,Harrison,1923-04-08,United States,6.0
HM751,Hamlin,Myrer,1987-01-29,Brazil,9.0
HB302,Hillary,Barnhardt,1916-03-07,New Zealand,4.0
JH502,Jill,Hergesheimer,1918-06-15,Canada,8.0
JS525,John W.,Spanogle,1911-08-10,United Kingdom,10.0
JK592,Jonathan,Kotzwinkle,1913-02-03,Germany,6.0
KY296,Kathy,Yglesias,1913-04-03,Brazil,8.0
KD840,Kenneth,Douglas,1925-09-24,South Africa,3.0
KE397,Kris,Elegant,1911-08-26,Hong Kong,5.0
LL585,Langston,Lippman,1909-10-02,New Zealand,0.0
LN356,Leonard,Nabokov,1931-09-29,United States,1.0
LK915,Lori,Kaan,1909-03-27,China,6.0
LD375,Lynne,Danticat,1917-08-19,New Zealand,8.0
MW974,Malin,Wolff,1903-01-31,Hong Kong,6.0
OL640,Oliver,Lowry,1917-08-29,Netherlands,4.0
PH273,Patricia,Hazzard,1908-04-27,Singapore,5.0
PA878,Philip,Antrim,1910-04-22,Netherlands,7.0
PB147,Phoebe,Brown,1911-08-21,Hong Kong,13.0
RL217,R.M.,Larner,1892-03-26,China,9.0
RM781,Robert,Milofsky,1919-01-12,United States,10.0
RP438,Robert,Plimpton,1922-11-11,Canada,13.0
UK129,Ursula,Karénine,1918-02-25,United Kingdom,9.0
WH901,Ward,Haigh,1915-10-07,Brazil,7.0
WB149,Wendell,Barton,1900-10-25,United States,2.0
